;Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Control (n=13);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23);Paired (n=23)
29;;;;;;;;;81,1448566;;;122,507031;145,3755;122,755973;114,459712;113,45436;145,9437;121,6257;55,62202;109,1715;;102,7292;;;;;;;;;185,5078;;;;167,762191;;106,631026;;113,3819;90,35747;131,184;97,9654;99,75837;92,14818;148,0994;83,5721;154,7639;81,78231;132,799;172,8821;114,775;120,2603;94,09347;120,2442;104,8916;108,1708;130,2382;;;
30;;;;;;;;;76,7538285;;;121,629006;134,9967;165,299401;114,355268;135,113977;145,9343;117,3701;97,62557;113,0042;;87,21434;;;;;;;;;;;;;;;116,342787;;154,2425;76,42129;123,9613;106,9522;95,52678;74,04425;151,0371;83,84405;153,4189;89,85103;131,4154;161,3599;112,5158;105,6676;85,62554;99,10134;113,6279;114,3577;115,0249;;;
31;;;;;;;;;86,7360111;;;148,000706;146,2874;160,295707;110,366284;126,520673;165,7489;112,2879;66,20872;112,9586;;89,78412;;;;;;;;;;;;;;;116,720205;;136,6749;54,48205;126,2023;90,24003;97,53601;65,64884;179,4962;98,05219;136,1017;93,87416;130,9237;187,1211;102,8595;125,0177;97,06503;100,8953;106,7258;111,0416;141,0596;;;
32;;;;;;;;;85,3797956;;;131,541469;155,1708;171,336774;103,413553;129,6968;158,0752;133,3396;85,59468;123,5515;;81,08801;;;;;;;;;;;;;;;116,290865;;96,1554;41,35213;126,9871;97,20734;95,22409;79,51144;155,0381;102,35;140,8633;88,91675;114,5053;165,9609;116,1839;112,4489;98,10204;104,1102;135,3775;103,7007;119,7875;;;
33;;;;;;;;;91,5118048;;;139,679532;141,5293;191,62858;145,10822;118,860077;163,0285;102,0258;110,5409;119,0951;;106,3758;;;;;;;;;;;;;;;107,808232;;90,12763;118,0606;134,8243;104,809;105,2496;65,45869;145,7307;111,1704;135,536;91,20352;136,0748;162,9669;116,9448;109,9208;87,06777;103,9538;123,8372;105,4667;106,3614;;;
34;;;;;;;;;81,4791059;;;123,644033;134,595;176,987902;188,070114;143,494049;159,0484;119,0224;106,2279;114,7166;;88,39918;;;;;;;;;;;;;;;113,024192;;114,8251;138,4594;141,036;107,1992;88,1275;75,71528;179,6364;122,9116;142,6957;89,85394;137,5521;169,2564;107,9424;117,1595;83,49254;104,5168;99,49857;108,9302;95,47285;;;
35;;;;;;;;;76,4633201;;;121,370221;130,1396;157,781653;222,729067;139,383195;146,5341;109,3777;105,3745;121,9461;;87,26816;;;;;;;;;;;;;;;112,834109;;81,92417;102,8294;110,1598;101,7144;98,19461;79,37275;218,3964;139,292;149,7645;91,05389;132,7334;162,2698;102,233;112,3133;108,5633;101,3818;101,6916;112,8592;108,2635;;;
36;;;;;;;;;67,2237196;;;119,587486;139,567;190,260497;220,935772;140,812514;169,8659;110,6724;121,9697;127,4717;;94,96515;;;;;;;;;;;;;;;103,477011;;107,0113;89,32145;101,9707;104,1696;87,29247;70,84759;202,4374;134,9171;139,3383;83,97336;124,5079;146,3947;114,6499;121,376;98,7515;109,4636;105,3532;112,7445;123,984;;;
37;;;;;;;;;72,0457096;;;160,265683;125,9981;177,550508;224,688576;131,250457;151,672;108,2279;84,11867;132,3458;;97,50935;;;;;;;;;;;;;;;104,305238;;87,52327;122,1567;121,7344;108,3375;95,56534;90,37201;212,7874;132,4387;144,5104;85,53712;124,5909;167,7272;112,4613;123,4313;124,0563;108,5661;99,93406;97,08947;125,2966;;;
38;;;;;;;;;70,3241359;;;146,926228;126,4124;185,8786;213,369828;139,63433;169,9137;112,947;91,86396;118,0191;;103,5822;;;;;;;;;;;;;;;114,901738;;113,6607;110,703;136,0667;107,5065;101,302;85,29853;192,7624;124,3352;152,9978;95,29046;113,438;157,2818;114,5745;141,6448;126,1744;112,1707;121,3401;103,4293;149,677;;;
39;;;;;;;;;83,737967;;;127,25641;131,1192;173,793472;172,956105;149,950676;183,0032;90,64471;85,9416;115,5195;;90,25034;;;;;;;;;;;;;;;131,859662;;87,78003;137,627;126,3331;97,41789;90,70019;109,449;269,4917;134,4156;140,9256;91,63863;114,3748;151,0125;108,1619;123,6447;89,58918;104,0549;117,2216;103,859;114,9801;;;
40;;;;;;;;;68,9971358;;;;122,9688;184,310378;111,622028;;;110,786;108,9971;115,7817;;89,99976;;;;;;;;;;;;;;;;;;;;;;;;;161,8998;82,77099;121,5672;167,6708;;;117,9807;103,8002;123,6193;102,8702;;;;
